11,4
12,11
13,4
14,2
22,8
24,14
25,2
32,10
37,3
47,11
51,5
53,5
57,3
64,8
77,10
79,13
82,3
91,14
92,1
97,15
100,11
102,9
106,10
117,11
119,15
121,6
123,10
137,9
138,2
139,14
143,1
144,5
147,9
149,4
154,12
155,5
158,1
160,5
178,11
188,12
192,4
200,6
202,5
205,10
208,6
212,7
213,2
215,9
216,1
218,13
225,12
231,14
233,13
234,6
235,5
236,2
239,8
241,12
245,15
248,4
253,2
257,8
258,4
260,15
262,10
263,13
265,15
270,5
274,2
283,6
286,6
287,12
290,1
291,5
292,3
293,2
296,7
309,8
321,9
322,5
327,11
329,2
337,2
338,14
346,10
349,2
351,7
358,6
363,15
369,1
378,13
384,9
389,11
392,4
393,8
396,15
403,8
405,15
414,14
416,1
417,9
421,13
423,4
426,5
428,15
429,4
430,15
432,5
433,13
436,1
437,6
442,4
448,2
452,4
456,4
457,4
458,3
459,10
462,3
481,3
482,1
486,14
491,12
493,8
498,12
500,2
501,10
502,6
503,3
511,5
519,14
520,1
522,12
524,1
534,3
538,11
539,11
542,12
546,11
548,5
552,2
562,13
565,12
571,10
573,1
579,14
581,2
588,12
590,3
600,3
601,12
609,12
613,2
615,6
621,5
622,1
624,5
629,7
633,4
635,6
645,9
646,2
648,11
651,7
659,11
661,6
662,12
664,1
672,10
673,7
677,7
678,14
679,10
681,1
695,12
708,11
712,14
713,15
719,6
720,15
721,4
722,6
729,8
731,11
740,1
744,5
756,13
760,12
765,10
766,2
767,15
773,5
775,14
778,7
779,7
789,3
793,9
804,3
814,13
817,3
829,1
833,3
836,10
842,11
845,13
846,9
848,8
851,7
853,15
864,6
869,8
873,3
875,6
877,10
878,1
888,8
890,4
891,11
894,12
902,15
906,6
907,1
911,15
915,2
916,2
921,13
923,6
927,11
940,2
942,14
945,8
949,5
952,7
955,3
960,1
965,1
967,14
971,12
972,12
973,1
976,14
977,13
980,7
994,14
995,2
1004,5
1005,7
1009,9
1010,1
1023,2
1025,6
1036,6
1037,13
1040,15
1044,4
1046,6
1047,15
1051,6
1052,12
1054,7
1060,10
1063,8
1065,2
1071,13
1074,4
1076,13
1078,11
1080,12
1082,9
1083,5
1087,3
1088,4
1105,7
1108,11
1114,3
1115,2
1117,7
1119,4
1125,7
1126,3
1132,12
1133,9
1134,3
1138,11
1152,6
1153,12
1155,11
1156,5
1165,14
1173,12
1178,3
1180,5
1181,1
1209,11
1213,13
1214,6
1215,10
1216,3
1222,3
1225,2
1226,7
1227,12
1236,1
1237,10
1239,7
1241,2
1244,12
1257,14
1259,5
1260,3
1263,1
1268,14
1270,12
1277,7
1283,14
1289,15
1294,11
1295,4
1296,6
1298,2
1299,8
1303,7
1309,15
1313,1
1315,3
1316,13
1317,7
1324,14
1335,6
1337,9
1338,11
1345,15
1346,13
1347,14
1350,1
1354,14
1356,12
1358,13
1363,10
1366,15
1368,4
1369,14
1374,1
1377,15
1386,10
1388,13
1389,10
1390,13
1392,3
1396,15
1404,12
1406,10
1411,13
1412,8
1414,3
1420,3
1426,1
1427,13
1428,10
1430,9
1433,9
1436,1
1437,4
1441,8
1444,8
1449,3
1450,5
1460,8
1461,13
1462,8
1473,11
1479,8
1480,14
1482,3
1486,9
1489,8
1493,1
1496,3
1497,4
1498,2
1501,3
1504,3
1509,6
1511,9
1512,7
1514,5
1533,4
1551,12
1554,11
1559,13
1561,7
1563,15
1570,2
1575,11
1581,12
1583,6
1591,1
1594,13
1597,3
1599,2
1604,13
1605,15
1608,5
1610,15
1615,12
1619,13
1625,8
1627,8
1637,10
1639,9
1640,12
1643,12
1645,14
1656,14
1658,3
1663,4
1664,11
1665,1
1666,12
1678,1
1681,13
1682,14
1684,9
1688,10
1696,4
1698,12
1706,1
1707,9
1712,3
1715,3
1718,1
1719,11
1724,11
1726,10
1730,2
1731,13
1739,8
1740,3
1742,5
1743,6
1752,12
1757,4
1758,4
1762,3
1765,13
1774,5
1779,3
1780,10
1783,11
1785,8
1788,2
1790,14
1796,14
1799,13
1802,5
1805,5
1806,13
1810,10
1811,2
1812,14
1814,6
1817,5
1820,15
1823,15
1825,9
1826,3
1833,4
1836,2
1839,8
1850,6
1857,8
